Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2014-01-01 00:00:00+05:30,515.0,515.0,515.0,515.0,0,0.0,0.0,0.0
2014-01-02 00:00:00+05:30,495.0,500.0,495.0,495.0,0,0.0,0.0,0.0
2014-01-03 00:00:00+05:30,475.0,475.0,475.0,475.0,0,0.0,0.0,0.0
2014-01-06 00:00:00+05:30,475.0,475.0,475.0,475.0,3,0.0,0.0,0.0
2014-01-07 00:00:00+05:30,475.0,475.0,475.0,475.0,0,0.0,0.0,0.0
2014-01-08 00:00:00+05:30,475.0,475.0,475.0,475.0,12,0.0,0.0,0.0
2014-01-09 00:00:00+05:30,475.0,475.0,475.0,475.0,2,0.0,0.0,0.0
2014-01-10 00:00:00+05:30,475.0,475.0,475.0,475.0,0,0.0,0.0,0.0
2014-01-13 00:00:00+05:30,455.0,455.0,455.0,455.0,1,0.0,0.0,0.0
2014-01-14 00:00:00+05:30,455.0,455.0,455.0,455.0,0,0.0,0.0,0.0
2014-01-15 00:00:00+05:30,450.0,450.0,435.0,435.0,18,0.0,0.0,0.0
2014-01-16 00:00:00+05:30,430.0,435.0,430.0,430.0,30,0.0,0.0,0.0
2014-01-17 00:00:00+05:30,430.0,430.0,430.0,430.0,0,0.0,0.0,0.0
2014-01-20 00:00:00+05:30,430.0,430.0,430.0,430.0,0,0.0,0.0,0.0
2014-01-21 00:00:00+05:30,450.0,450.0,410.0,415.0,11,0.0,0.0,0.0
2014-01-22 00:00:00+05:30,400.0,435.0,395.0,435.0,27,0.0,0.0,0.0
2014-01-23 00:00:00+05:30,430.0,430.0,430.0,430.0,0,0.0,0.0,0.0
2014-01-24 00:00:00+05:30,430.0,445.0,410.0,445.0,13,0.0,0.0,0.0
2014-01-27 00:00:00+05:30,455.0,455.0,455.0,455.0,0,0.0,0.0,0.0
2014-01-28 00:00:00+05:30,455.0,455.0,455.0,455.0,0,0.0,0.0,0.0
2014-01-29 00:00:00+05:30,460.0,460.0,440.0,460.0,14,0.0,0.0,0.0
2014-01-30 00:00:00+05:30,460.0,460.0,460.0,460.0,0,0.0,0.0,0.0
2014-01-31 00:00:00+05:30,440.0,440.0,440.0,440.0,2,0.0,0.0,0.0
2014-02-03 00:00:00+05:30,450.0,450.0,420.0,450.0,8,0.0,0.0,0.0
2014-02-04 00:00:00+05:30,450.0,450.0,450.0,450.0,0,0.0,0.0,0.0
2014-02-05 00:00:00+05:30,430.0,465.0,430.0,465.0,2,0.0,0.0,0.0
2014-02-06 00:00:00+05:30,465.0,465.0,465.0,465.0,0,0.0,0.0,0.0
2014-02-07 00:00:00+05:30,480.0,480.0,445.0,445.0,1,0.0,0.0,0.0
2014-02-10 00:00:00+05:30,445.0,445.0,445.0,445.0,0,0.0,0.0,0.0
2014-02-11 00:00:00+05:30,425.0,450.0,425.0,425.0,5,0.0,0.0,0.0
2014-02-12 00:00:00+05:30,425.0,445.0,405.0,405.0,5,0.0,0.0,0.0
2014-02-13 00:00:00+05:30,390.0,425.0,385.0,425.0,7,0.0,0.0,0.0
2014-02-14 00:00:00+05:30,415.0,425.0,415.0,425.0,14,0.0,0.0,0.0
2014-02-17 00:00:00+05:30,405.0,405.0,405.0,405.0,31,0.0,0.0,0.0
2014-02-18 00:00:00+05:30,390.0,390.0,390.0,390.0,3,0.0,0.0,0.0
2014-02-19 00:00:00+05:30,385.0,400.0,375.0,400.0,11,0.0,0.0,0.0
